Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
mmyilmazyurt,9.0,93,7,speechless,honest nothing left say storywise film tragedy atmosphere everythingas admirer dennis villeneuves filmography thanks work past year already familiar much brilliant storyteller yet incendies different beautifully structured script visuals soundtracklastly intro along radioheads whose army probably one best ive ever witnessed easily,0.9565,positive,0.072,0.553,0.376
alexart-1,9.0,333,44,love became funeral pyre,people watch oscar dont usually care best foreign film nominee incendies provides many reason people actually get see nominee cost incendies kind film one walk away feeling emotionally drained one stay viewer mind day end like intense personal experience take lot come grip film story moving plot full twist catharsis new directorsnew film festival new york saw last night denis villeneuve explained made four film canada first one released america right see reason villeneuve actor matter shouldnt great future ahead thembased play scorched wajdi mouawad incendies follows nonlinear plot span two generation present day jeanne simon twin lost mother nawal nawal stipulated jeanne simon must return envelope brother didnt know existed currently living fictional middle eastern country twin give nawal proper burial jeanne feel obligated return letter go middle east realize nawals nastiest secret jeanne uncovers nawal viewer shown nawals story film build unforgettable ending sure rock viewerincendies already great source material ive praised plot enough one thing must add play apparently four hour long according villeneuve impressive movie succeeds nicely cant imagine anything cut back source material there really great acting entire cast play part emotional vigor seems impossible work art wasnt autobiographicalfurthermore villeneuve made film relies great filmmaking impact viewer cinematography beautifully bland surely nod desert lebanon like land movie take place color scheme also used villeneuves advantage show parallel nawal jeannes life villeneuve seems love working extended zoom shot shock viewer overwhelmingly long silence villeneuve didnt receive critical acclaim america least incendies mysterythere many movie middle east failed miserably attempt strike emotional chord critic viewer alike redacted rendition others extremely successful hurt locker lebanon incendies could well one best film ever made conflict middle east flaw keep masterpiece maybe couldve lost five ten minute rare type film really resonates beyond initial viewing hopefully incendies remembered year come little brilliant film spawned great fame denis villeneuve,0.955,positive,0.143,0.656,0.201
eddie_baggins,10.0,107,16,stunning powerful thriller,want see one modern era hottest directing streak started incendies film youdirected denis villeneuve went frenchcanadian coproduction move onto prisoner enemy sicario arrival last year brilliant sequel blade runner incendies oscar nominated film put villeneuve path find remains film substantial power year initial releaseadapted wajdi mouawads play name incendies multilayered narrative span numerous country numerous character various timeline villeneuve control film perfectly mystery lay heart tale family war life death never get muddled drawn film wrap u web refuse let u gotheres abundance filmmaking visual flair villeneuve started become known recent hollywood production incendies power come almost exclusively villeneuves deft hand performer handling script filmmaker would struggle bring life ability slowly ebb information go time come realise lay store film character power incendies becomes even apparentsaying much story would disservice film take many various turn pivot essentially core story twin jeanne simon marwan trying uncover secret father theyve never met find brother never knew middle eastern born mother nawal pass away incendies becomes much typical family drama showcase time conflict israeli palestinian holy war well twin journey back country nationalitythe film many way showcase different side villeneuve prof director home handling million plus scifi major hollywood studio behind camera small intimate drama driven purely narrative character proof filmmaker man many talent director cherished love cinemafinal say fan villeneuves work world cinema powerful character driven drama incendies film seek soon possible losing none power since initial release sometimes hard watch always enthralling film standout filmmaking official blasting point one modern era great filmmaker swimming pool,0.8779,positive,0.099,0.765,0.136
Xstal,10.0,42,5,tragedy turmoil torment,secret uncovered passed undiscovered story shed amassed father brother didnt know could others time lift bedrock past make visit country east friction conflict war chaos seldom ceased walking footstep left shadow plough lonely furrow record slowly forming piece piece discover revelation tragedy event circumstance shocking gravity uncontrived coincidence implication beyond immense point mother run fleeone best film youll come across brilliantly directed performed heart wrenching packed full emotion turmoil,-0.9153,negative,0.244,0.665,0.091
vsdobbs,9.0,135,47,fantastic villeneuves best film yet,film extraordinary every level script terrific actor perfect direction cinematography could hope recommend without hesitationanyone seen villeneuves previous workor andre turpin zigrailknows filmmaker body work almost without peer contemporary cinema worldwide unparallelled history canadian cinema seeing incendies maelstrom favourite canadian film incendies betray legacy absolutely see itin film stunning one odd single one aspect must say lubna azabals performance among best ive ever seen though ive watched film shes past never really stood devastatingly good picturei hope film get submitted ampas oscar selection definitely best film ive seen year shoein foreign picture oscarmy complaint film use music radiohead took film time played rest music cue spoton quite excellent thom yorkes voice belonged nowhere near film,0.9857,positive,0.058,0.664,0.277
freddyatali,10.0,163,62,exquisite,denis villeneuve created nothing less masterpiece film revealing great director especially given original story powerful dimensionsdespite skeptical first film shot jordan dealing specific multidimensional lebanese drama geographic distance land lebanon detaching film strict reality place taking whole level significance jordan landscape especially film photography somewhat surrealistic story taking place deep level region subconsciousvilleneuve managed delicately craft story dimension human mind normal condition prepared understand confront yet thing happen many time war retelling easy task actually quasi impossible one yet villeneuve itthis film representing canada oscar win,0.9042,positive,0.101,0.675,0.224
vamsipraneethdamarla,9.0,33,8,dont miss masterpiece,stupid iam postpone movie month watching stuff ive underrated movie watching trailer,-0.6486,negative,0.346,0.654,0.0
CineCritic2517,9.0,111,51,recommended viewing,reading mother twin brother sister learn unusual last wish amongst request two envelope need delivered respectively father two brother unknown quest lead twin middle east slowly learn horrific tale life history late motherthe movie tell graphic endearing story perfectly shot acted allowing viewer get fully immersed journey finding twin flashback learn hardship mother eventually fate father brother treat great twist end really icing cakehighly recommended,0.8876,positive,0.082,0.696,0.222
conceptkrishna,9.0,6,0,damnnn pure carnage drama well executed,purely marvelous life like almost fell asleep beginning min till last min pure suspense,0.788,positive,0.0,0.633,0.367
Blue-Grotto,10.0,17,4,tenth anniversary,rare person understands fully people even try understand come knowing others deeply even close u task nearly impossible incendies delf seemingly hopeless undertakingupon death unusual troubled mother nawal twin jeanne simon given surprising difficult assignment tracking father thought dead finding brother never knew delivering mysterious letter mom journey begin lebanon nawals footstep retraced shocking revelation revealed nawal including forbidden love honor killing stolen baby violent militia refugee prison torture massacre assassination twin discover country caught chain anger struggle free within conflagration key understanding mom family themselvesincendies deeply moving explosive literally figuratively glimpse heart lebanon human nature second favorite film time scene raw jolting none final revelation part villeneuves genius surprising scene come without usual prelude revealing music like jaw intuitive response obvious buildup suddenly cut sense emotion simultaneously boom flashback ambient sound contrasted eerie radiohead track villeneuve craft something unique thrilling lubna azabal nawal perfect part incendies based play wajdi mouawad filmed jordan quebec love incendies mostly carry profound urgently needed message judge diminish people culture otherwise lift sympathy understanding mercy,-0.9559,negative,0.237,0.598,0.166
lennyfromamsterdam,10.0,211,114,wonderful devastating,pleasure attending screening incendies telluride film festival absolutely shattered meticulously crafted film favorite festival stuff happens youll like way film go even youll like whoa okay even youll like oh god even still youll like happening oh god please itll keep going even end film youll steamy shattered mess like wascharacters event throughout depicted subtlety prowess master filmmaker dont want spoil anything numerous moment screening attended audience vocally reacting moment screen extremely visceral affecting beautiful powerful film,0.9808,positive,0.096,0.53,0.374
lstonebridge,10.0,115,57,superb film,superb film best film year estimation bar none exceptional canadan film easily win best foreign film oscar directing photography cinematography casting acting outstanding film also something say nature hate violence unfortunately wonderful film neither seen appreciated wide audience denis villeneuve created fabulous film done immense job taking novel screen,0.969,positive,0.157,0.427,0.416
magadalwarmayur,10.0,35,13,top ten film ever watched,movie need recognition couldnt believe released kind movie stick die watch movie little patience every aspect movie masterpiece ie cinematographyeditingscreenplaymusicdirectionperformance movie consider best shawshank redemption deal somewhat thing iehope watch movie get prepared amazed,0.7733,positive,0.139,0.582,0.279
TheLittleSongbird,9.0,14,4,promise much sacred thing,main attraction seeing incendies directed denis villeneuve loved sicario really liked prisoner apart ending review film recommended incendies highly people calling one villeneuves best seeing film definitely cardsseeing incendies turned every bit great film touted although need seen villeneuve incendies contain best work seen thus far second favourite sicario tough watch often incredibly hardhitting thing people love others wont done find contrived melodramatic incendies exceptionally well made round strong emotional impact throughout although perfect hard hard itincendiess weak point ending certainly unexpected power also seemed rather contrived like went far number coincidence almost credibilitystraining ending prisoner quitehowever incendies superbly made visually especially stylish brooding cinematography deft use closeup long shot capture horror story wonderfully even roger deakins little bit better scenery similarly audacious also highly atmospheric music suitably haunting great use radioheads whose armyvilleneuves direction career best specialised giving film darkness beautiful brutal also hard edge didnt hold back better seen incendies tight script sicario script lot emotional impact provokes thoughtwhen come story incendies also hugely successful really hit hard without overdoing sugarcoating thing much authentic also moving bus massacre particular highlight shock one core parallel splittime structure story interesting neither story line hard follow tie neatly end numerous revelation twist could credibilitystraining illogical done right villeneuve keep control anguish confusion regret seen poignantly filmperformances strong across board powerhouse turn lubna azabal mlissa dsormeauxpoulin film particularly great job creating sympathy protagonist developed beautifully one easy root every step way come compellingly real oneoverall great film nearmasterwork though ending good rest film bethany cox,0.997,positive,0.129,0.55,0.321
kluseba,8.0,81,57,probably best drama last year,decided watch movie read many excellent critic book used quebec cegeps kind posthighschool girlfriend talked indeed happy seen intense movie really great close perfection even though even seen one two better film year movie least best drama seen last five yearsthis movie absolutely convincing intense image word slow paced sad atmosphere movie begin calm tension raise fast really feel tragic character movie make cry make angry shock quebecker movie cut piece may mix little bit beginning see scene present jeanne simon first parallely looking truth trying fulfil last see scene dramatic past mother different stage life also see scene past family movie show couple interesting diversified character played mostly unknown indeed extremely talented actor also magnificent intense landscape shocking crime war scene insight foreign culture clash generation ideology past present movie much diversified intellectualmany people surprised several twist intense dramatic ending true development movie take really shocking seen thing coming wasnt surprised end almost harm atmosphere tension movie movie tell philosophical way irony fate peace war love hate vengeance forgiveness saint sinner uneasy watch movie still think heard seen quite moviealmost everything perfect movie two minor reason dont give best note first somehow able predict punch certain point movie already seen intense shocking drama even uneasy heavier watch one example pianist second scene beginning movie done well camera man scene jeanne mathematic class look accessory room camera disturbingly shaking moving time create effect uneasiness similar scene later movie way heavier scene two scene would complicated produce film well done director seen corrected sending final product festival cinema perfect intense masterpiece little detail really something could harm reputation professionalism whole brilliant work next time concentrated movie perfection keep eye open invest money good camera director instead war scenesbut think really talk extremely good movie surely worth watching agree one would like see movie represent canada oscar,0.984,positive,0.183,0.552,0.265
Misss25,9.0,6,1,donno begin shocked watching oldboy one,revealing mastery great shocksnever think gonna end really dont word loved,0.1755,positive,0.207,0.545,0.248
younesbaghdali,10.0,3,0,greatest plot twist,movie shocking plot twist ever seen entire life literallythe story telling cinematography atmosphere choice soundtrack even actor everything perfect movie keep edge seat make theorise wonder make think connect dotsanother masterpiece director never seems disappoint sad movie still masterpiece would describe movie deep full sorrow painting made picassosadly dont see lot movie like made generation,0.9203,positive,0.084,0.65,0.266
cultfilmfan,10.0,31,29,incendies,incendies based play wajdi mouawad film canadian film french arabic english subtitle going theatre see incendies really knew nothing read review came heard television news show supposed good best foreign language film oscar assumed going really good film decided read anything plot saw film day find many critic gave away much crucial information film review finally see film affect known nothing incendies watching story unfold eye quite experience would recommend inclined go see film director denis villeneuve familiar anybody else appeared film worked side must say fantastic job type film watching quite sure happen climax ending come make sense leaf multitude feeling time incendies always easy film watch overly violent graphic thought everything handled tastefully done way still suck much emotion u get care much character going watch eye help feel sad enraged even physically ill watching time clarify film deal going middle east war tension prejudice came war moment terror people time still going also liked dealing tricky controversial subject matter mentioned tastefully done none felt like watching hollywood movie think big budget big name star movie extravaganza probably would worked reason work well fact character driven deal event gone past similar different way still going today film felt personal felt like people involved film something say instead sugar coating everything making easily watchable film feel good portion instead go emotion sense almost take journey personal trial tribulation character movie gone understandably almost feel pain exhaustion hurt performance sense believability authenticity everything see go feel like real thing way handle situation believable far fetched character film give u something believe searching truth go many length find even time difficult even dangerous amount honour pride carry set someone wish truly remarkable incredibly powerful film mentioned put array different emotion mind felt could connect character look feel film big budget fake looking make interior exterior shot look real enhancing emotion mood supposed feel scene acting everyone involved terrific well really well put together film great cast director wonderful material work mold brave haunting yet life changing experience seen best foreign language film oscar nominee seen incendies would say good chance winning masterful great take word go see open theatre near certainly one best film,0.9911,positive,0.135,0.641,0.224
classymmagine,9.0,4,1,watch,breathtaking start finish incendies delivers deeply moving narrative intertwines family secret haunting legacy war film feature captivating performance particularly lead actress whose portrayal woman search truth identity powerful poignant dialogue brilliantly crafted line resonating weight character experiencesthe scenario meticulously thought effectively exploring theme love loss resilience backdrop conflictridden landscape stunning cinematography capture stark beauty setting immersing viewer world feel real emotionally chargedwhat truly stand journey woman endures unimaginable hardship quest uncover family past strength determination serve testament human spirit capacity endure heal overall incendies engaging film profound exploration identity survival scar left war lingers mind long credit roll,0.9788,positive,0.107,0.576,0.317
jtindahouse,10.0,4,1,film going stick suspect,ive meaning see incendies long time kept seeing image infamous pool scene creep people saying one devastating realisation film history needed know holy heck film pull punch feel like hit truck time overthe movie told lot class absolutely brutal hard watch film time none violence terror feel top part go towards film made part go towards part world actually like unfortunatelythe twist end film disappoint may shock leave feeling pretty grotty disappoint havent able stop thinking film since finished hour ago one stick suspect terrific film,-0.055,negative,0.192,0.609,0.199
RevCarndoch,6.0,10,5,bit fantasy mixed tragedy,although story interesting movie suffers poor leading actor relies fantastical coincidence drive story supporting cast wonderful job mother play part well acting twin simply believable young acting skill arent also inappropriately cast believable could offspring immigrant mother tortured past story compelling told way really grabbed attention kept excited see part would told next although challenging present event manner film excellent job helping viewer follow event past present skillfully unwound paint picture really happened movie cast appropriate talented actor role twin perhaps used one two fewer crazy coincidence think could great,0.9674,positive,0.101,0.602,0.297
glbawk,5.0,79,87,convincing,film strong scene close couldve beenas someone lebanon couldnt take film seriouslysometimes drama bordered comedy native lebanonthe fight christian muslim middle east lebanon character speak different arabic dialect scenery jordan scene hint real historical fact totally mark parallel war lebanon obvious yet wrongto sum imagine film shot bresil war confederate state united state dialect australian there scene hint abraham lincoln assassination would take film seriously,-0.8371,negative,0.201,0.694,0.105
W011y4m5,8.0,2,0,pack punch,discover denis villeneuves filmography realise unflinchingly brutal movie,-0.6249,negative,0.369,0.631,0.0
kamalbeeee,8.0,2,0,drastic twist end,movie slow finding brother son climax awesometo feel climax twist watch whole movie,0.0,neutral,0.0,1.0,0.0
f-57307,8.0,2,0,great,true greek tragedy layer deprivation directed heart people faced truth silence think feel sad,-0.7351,negative,0.422,0.369,0.209
Ashwani-Kumar-Abhinandan,8.0,2,0,one best,incendies one best nonhindi nonenglish film ive ever watchedthe direction brilliant expected denis villeneuvethe bus scene one thrilling horrifying moment ive seen movie crazy part achieves without ghost spirit pure raw terror awe terrorist chillingthe cast acting outstanding every performance feel real powerfulthe ending best part filmit feature one shocking plot twist couldve seenthat said hype review claiming movie biggest unexpected plot twist world cinema mentally prepared paid extra attention start middle strong feeling twist might even kept denying thinking way wont go far dideven though predicted ending didnt reduce enjoyment buildup emotional weight confrontation scene excellently crafted grippingoverall incendies one best film watch highly recommended,0.9314,positive,0.174,0.56,0.266
SnoopyStyle,8.0,6,4,epic greek tragedy,twin simon jeanne marwan given instruction reading mother deliver letter father brother know nothing simon dismisses mother weird wish jeanne decides discover truth lebanon christian mother nawal marwan affair arab wahab family killed wahab grandma saved pregnant nawal baby given mysterious woman narwal would go look himdirector denis villeneuve delivers compelling image dark murky tale religion family set middle sectarian war point middle story double make true greek tragedy small problem dying nurse telling twin baby born prison able figure part last half stretched bit midway point wish movie pick pace get big reveal nevertheless brilliant tragedy,-0.836,negative,0.196,0.654,0.15
socialmedia-437-956449,9.0,6,4,picturesque memorable surprising tense mysterious,story begin nawal lubna azzabal canadian expat middle eastern origin leaf behind twin jeanne mlissa dsormeauxpoulin simon maxim gaudet consists two sealed envelope instruction delivery listing jeanne simon supposedly late father recently discovered older brother point forward twin embark upon adventure wartorn country sole purpose unlocking mystery left behind mother mystery providing gateway homeland originsthe magnificent prologue film speaks volume beautiful seemingly serene hilly landscape tricking audience false sense security camera slowly sweep across room full young boy either clipper shaving head military standard receiving terrifying looking arm camera pause one boy piercing eye looking u moving combination fear anger resentment hair fall shoulder rendering bald ready background radioheads whose army hypnotises u imprinting powerful image memory one strongly recalled later film scene alone worth sturdy artistic praiseface naked without memorial burial instruction left behind apparently tortured nawal haunting quote noting childhood knife throat cant easily take child realise gravestone added puzzle mother past unlocked delivery letter within cryptic willbased play wajdi mouawadscorched familiar one could feel tell screenplay adaptation turned mouawads work respected admired multi award winning picture film garnered international attention twenty win total various festival including oscar nomination best foreign language film incendies also one highly praised film screened second edition doha tribeca film festival dtff encouraging exploration appealcan war poetic villeneuve possible also romantic ruthless combining extreme human emotion leading radical choice like christian nawals recruitment muslim militia poetic narrative expose idyllic scenery director focus often revealing shortly truth raw harsh poignant reality moment jeanne land middle east transported story mother history although country name fictional historical detail fail belie nation question fact lebanon every location visit alternated parallel memory mother past featuring ferocious battle woman also political activist soon jeanne infiltrates nawals hometown exposed complex hatred society continues struggle even year war ended villager blatantly refuse jeanne assistance upon discovering nawals daughter without mention mother treated like taboowhile simon resisting mother enforced wish jeanne initially take solo initiative seek closure throughout adventure learn unfriendly village appears basis nawals struggle upon falling pregnant palestinian man brutally murdered brother drowned shadow disgrace everybody village due falling pregnant nawal delivers boy taken away upon birth tattoo marking shin nawal vowed find child cost driven village fear persecution even death take drastic decision anger resentment fear like boy opening filmthe war context explains regardless one political stance there people choose practice preach mere ideal nawals decision join militia primarily born despair injustice suffered style mythological greek tragedy plot cleverly reveals key information within every step twin detective effort reaped year absence becomes obvious war never really left mother past protagonist lived festered within themalthough child considered mother nothing neurotic unstable character journey embark honour fact valiant woman also known woman sings past painful easily forgotten seemed never really understood motherthe film picturesque memorable every scene surprising tense mysterious part villeneuve portrays vulnerable curious vision nawals viewpoint one applicable person regardless religion political party sharing circumstance someone unaware conflict middle east narration carry judgment innocence guilt may considered right wrong war general personal perspective highlight one worst enemy also precious part oneself story struggling woman starcrossed lover suffering mother personal journey life family legend tainted war society,-0.9864,negative,0.223,0.6,0.177
